video_id,title,fetched_date,rank,previous_rank,daily_rank_change
ek6tuIxGP5I,Real Madrid vs Manchester City LIVE | Champions League 2025/26 | PES21 Simulation,2025-12-15,36,21.0,-15.0
gKO-dW4OEQM,I LOVE THE LORD,2025-12-14,46,,
gKO-dW4OEQM,I LOVE THE LORD,2025-12-15,46,46.0,0.0
hCmlC5YTUQk,الرجل العنكبوت انقاذ باتمان Spider-Man Rescue batman vs iron man vs venom funny Game GTA 5 superhero,2025-12-14,36,,
hCmlC5YTUQk,الرجل العنكبوت انقاذ باتمان Spider-Man Rescue batman vs iron man vs venom funny Game GTA 5 superhero,2025-12-15,45,36.0,-9.0
hGBIuQfU69E,OFFICIAL TRAILER 2025 RANAR SUNA WEB SERIES ,2025-12-14,26,,
hGBIuQfU69E,OFFICIAL TRAILER 2025 RANAR SUNA WEB SERIES ,2025-12-15,14,26.0,12.0
kmT_74wMf90,I Became Any Superhero in Minecraft,2025-12-14,9,,
kmT_74wMf90,I Became Any Superhero in Minecraft,2025-12-15,15,9.0,-6.0
oUq3-3zoT7w,BLACK WEDDING 2 |Lastest Yoruba Movie 2025| Official Trailer | SHOWING 18th DEC 2025 on SHAIWORLDTV ,2025-12-14,50,,
oltOkYh28Fg,Agesinkole 2 (King of Thieves) Official Trailer,2025-12-15,29,,
py1oeAeEmFg,King Kong and Godzilla vs. Special Forces: A Major Clash On Land And Sea,2025-12-14,6,,
py1oeAeEmFg,King Kong and Godzilla vs. Special Forces: A Major Clash On Land And Sea,2025-12-15,9,6.0,-3.0
q49JaeHIuF4,Flavour - The Eagle Has Landed (Official Music Video),2025-12-14,25,,
q49JaeHIuF4,Flavour - The Eagle Has Landed (Official Music Video),2025-12-15,25,25.0,0.0
qDXJBNEfrjc,THE BRAZIL SQUAD OPENED MY NEYMAR PACK AND IT GOT CRAZY !! ,2025-12-14,24,,
qDXJBNEfrjc,THE BRAZIL SQUAD OPENED MY NEYMAR PACK AND IT GOT CRAZY !! ,2025-12-15,39,24.0,-15.0
qMuimu77EPo,Wuse Tu,2025-12-14,37,,
qMuimu77EPo,Wuse Tu,2025-12-15,43,37.0,-6.0
sItUCKJQLTU,A Knight of the Seven Kingdoms | Official Final Trailer | HBO Max,2025-12-14,47,,
sItUCKJQLTU,A Knight of the Seven Kingdoms | Official Final Trailer | HBO Max,2025-12-15,50,47.0,-3.0
sPR3r39V5Zs,I Manage the Worst Club in Italy...,2025-12-14,33,,
v9DDHhpzAKI,I Secretly Used //COMBINE in a Manhunt,2025-12-14,45,,
vKSv4c3VBac,"BEHIND THE SCENES (OFFICIAL TRAILER) Ft FUNKE AKiNDELE, TOBI BAKRE, IYABO OJO, SCARLET GOMEZ",2025-12-14,11,,
vKSv4c3VBac,"BEHIND THE SCENES (OFFICIAL TRAILER) Ft FUNKE AKiNDELE, TOBI BAKRE, IYABO OJO, SCARLET GOMEZ",2025-12-15,17,11.0,-6.0
vgLMftfWckU,Phyno - Ask Of Me Now (Official Video),2025-12-14,22,,
vgLMftfWckU,Phyno - Ask Of Me Now (Official Video),2025-12-15,22,22.0,0.0
wVmkqlupMlQ,"UNPLANNED MOTHERHOOD (PART 1) EBERE OKARO, SOCHI IFINITY, AJAELO UGEGBE - 2025 NOLLYWOOD MOVIE",2025-12-14,32,,
wVmkqlupMlQ,"UNPLANNED MOTHERHOOD (PART 1) EBERE OKARO, SOCHI IFINITY, AJAELO UGEGBE - 2025 NOLLYWOOD MOVIE",2025-12-15,35,32.0,-3.0
